id;justificacion;observaciones;fecha;hora_inicio;hora_fin;compensatorio;autorizadas_por
1;Producer;SAS parsing;2019-10-29T11:53:05;2019-10-28T22:45:05;2019-10-29T05:22:59;false;empower
2;Senior;deposit;2019-10-29T03:45:19;2019-10-29T16:25:40;2019-10-29T01:03:43;false;Salad
3;withdrawal circuit;generating frictionless solution-oriented;2019-10-29T12:18:16;2019-10-29T12:42:13;2019-10-29T07:15:00;false;generating
4;users Guinea;SQL lavender;2019-10-28T22:01:41;2019-10-29T03:05:26;2019-10-29T02:42:10;false;COM
5;Agent Squares;supply-chains;2019-10-29T20:52:40;2019-10-29T09:07:05;2019-10-29T14:58:07;true;Philippine Peso incentivize
6;Metal;methodologies Granite Corporate;2019-10-29T04:49:40;2019-10-29T14:52:54;2019-10-29T05:01:14;false;Global Soft Missouri
7;Awesome Cotton Tuna;calculating yellow;2019-10-29T21:09:11;2019-10-29T18:03:23;2019-10-29T18:07:54;false;system-worthy pixel Phased
8;withdrawal Towels;navigating seize generate;2019-10-29T11:17:17;2019-10-29T20:17:23;2019-10-29T12:55:27;false;microchip Ergonomic Auto Loan Account
9;Fantastic Fresh Ball;ubiquitous monitor;2019-10-29T14:17:10;2019-10-29T06:46:02;2019-10-29T07:49:24;true;reintermediate Factors
10;sensor;4th generation;2019-10-29T08:27:39;2019-10-29T15:07:21;2019-10-29T17:31:43;true;Refined Granite Sausages Savings Account extensible
