id;documento_colaborador;entrada;salida
1;Pakistan;2019-12-16T16:25:20;2019-12-16T03:28:15
2;neural back-end Unbranded;2019-12-16T09:39:42;2019-12-15T22:08:45
3;Designer;2019-12-16T20:11:12;2019-12-16T10:55:51
4;EXE cross-media Frozen;2019-12-16T18:05:45;2019-12-16T05:00:54
5;generating SDD bypassing;2019-12-16T11:18:05;2019-12-16T04:42:16
6;Fantastic Fresh Salad;2019-12-16T04:34:41;2019-12-16T18:00:33
7;Avon;2019-12-16T15:55:49;2019-12-15T21:50:55
8;exploit transition;2019-12-16T02:01:14;2019-12-16T15:50:50
9;Principal Pennsylvania dynamic;2019-12-16T04:31:53;2019-12-16T19:31:25
10;navigate Oklahoma;2019-12-16T11:20:47;2019-12-16T15:33:30
