id;fecha;hora_llegada;hora_salida
1;2019-10-29T11:59:50;2019-10-29T11:55:27;2019-10-29T09:53:55
2;2019-10-28T22:01:28;2019-10-29T07:01:00;2019-10-29T04:05:31
3;2019-10-29T14:25:02;2019-10-29T05:38:58;2019-10-29T04:44:15
4;2019-10-29T03:14:52;2019-10-29T00:46:28;2019-10-28T22:33:13
5;2019-10-29T02:42:03;2019-10-28T23:37:47;2019-10-29T20:27:58
6;2019-10-29T04:02:04;2019-10-29T09:53:06;2019-10-29T03:26:14
7;2019-10-29T18:53:55;2019-10-29T17:54:54;2019-10-29T15:36:29
8;2019-10-29T18:57:00;2019-10-28T21:44:15;2019-10-29T07:42:56
9;2019-10-29T17:59:50;2019-10-29T20:58:34;2019-10-29T09:26:38
10;2019-10-29T09:50:26;2019-10-29T06:34:53;2019-10-29T16:22:07
