id;nombre;descripcion;estado
1;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Inactivo
2;Human deposit;even-keeled Saint Helena Pound;Inactivo
3;bypassing Marketing;Dynamic Home Loan Account Tools;Inactivo
4;Home Gloves Latvia;Ports Manager Fish;Activo
5;Fish;payment calculating;Inactivo
6;turn-key dedicated;Wisconsin;Activo
7;dot-com payment Libyan Dinar;white sensor local;Inactivo
8;Chips;Villages uniform PCI;Inactivo
9;Wisconsin Facilitator Incredible;reinvent;Inactivo
10;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Activo
