id;fecha;fecha_fin;autorizado_por;observaciones
1;2020-01-09T09:57:55;2020-01-08T23:50:15;Fish multi-byte Savings Account;Computer Practical Fresh Pants
2;2020-01-09T04:31:40;2020-01-09T15:31:32;deposit Tasty Metal Bacon Implementation;Chips
3;2020-01-09T14:33:09;2020-01-09T04:08:06;Home Loan Account;web-readiness
4;2020-01-09T11:57:53;2020-01-09T06:21:35;enable Gorgeous Frozen Pants;Common
5;2020-01-09T00:06:37;2020-01-09T04:06:47;syndicate;Mississippi Refined Rubber Chicken Table
6;2020-01-09T17:23:35;2020-01-09T18:38:09;Usability South Dakota envisioneer;Intelligent
7;2020-01-09T02:31:58;2020-01-09T13:10:11;Bahamian Dollar Investment Account;Games Regional Digitized
8;2020-01-09T03:03:14;2020-01-09T00:49:33;convergence;Mayotte
9;2020-01-09T14:31:04;2020-01-09T18:12:10;synthesizing Views e-enable;Credit Card Account National Awesome
10;2020-01-09T14:15:03;2020-01-09T06:27:16;Tactics;scale interactive generating
