id;justificacion;estado;fecha_inicial;fecha_final
1;utilize Small Fresh Gloves target;Autorizada;2019-10-29T14:51:00;2019-10-29T10:10:20
2;Group Practical GB;Autorizada;2019-10-29T16:07:07;2019-10-29T01:15:31
3;synthesize;Autorizada;2019-10-29T14:51:32;2019-10-29T00:35:02
4;Liaison Grocery capacitor;NoAutorizada;2019-10-29T14:50:09;2019-10-29T10:48:07
5;groupware success program;NoAutorizada;2019-10-29T12:34:21;2019-10-29T07:54:40
6;Mall Vietnam Mouse;Autorizada;2019-10-29T02:46:44;2019-10-29T17:43:45
7;Summit Saint Martin Kids;Autorizada;2019-10-29T06:37:03;2019-10-29T16:57:58
8;Manors Music Savings Account;NoAutorizada;2019-10-29T16:36:16;2019-10-29T16:00:15
9;Car payment;Autorizada;2019-10-29T02:16:33;2019-10-29T11:01:09
10;Architect;NoAutorizada;2019-10-29T19:40:42;2019-10-29T05:05:10
