id;tipo;tipo_permiso;fecha_peticion;motivo;constancia;fecha_inicio;fecha_fin;estado;autorizado_por
1;Permiso;Luto;2019-11-03T22:32:16;FTP Savings Account;deposit Tasty Metal Bacon Implementation;2019-11-03T23:54:47;2019-11-03T19:34:05;Autorizada;Home Namibia
2;Permiso;Compensatorio;2019-11-03T09:05:26;syndicate;Mississippi Refined Rubber Chicken Table;2019-11-03T22:22:14;2019-11-03T23:36:48;Autorizada;Intelligent
3;Permiso;NoRemunerado;2019-11-03T08:01:53;hardware Costa Rica Mayotte;Industrial;2019-11-03T03:43:01;2019-11-03T05:19:43;NoAutorizada;capacitor archive
4;Vacaciones;Compensatorio;2019-11-03T09:50:59;Specialist Home Loan Account;Plastic;2019-11-03T04:40:45;2019-11-03T19:57:55;NoAutorizada;index orange
5;Vacaciones;Compensatorio;2019-11-03T06:26:09;quantify Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;2019-11-03T15:01:56;2019-11-03T16:28:05;Autorizada;Mississippi embrace Developer
6;Permiso;Compensatorio;2019-11-03T13:23:16;red;withdrawal knowledge base Buckinghamshire;2019-11-03T02:09:01;2019-11-03T20:35:16;NoAutorizada;override User-centric
7;Permiso;Luto;2019-11-03T08:43:49;RSS;mint green e-business EXE;2019-11-03T16:08:51;2019-11-03T04:33:12;Autorizada;Direct
8;Permiso;Compensatorio;2019-11-03T16:37:01;Hat;supply-chains magenta;2019-11-03T21:03:18;2019-11-03T17:27:57;NoAutorizada;Mauritania
9;Permiso;Luto;2019-11-03T23:02:47;Personal Loan Account;paradigms Home;2019-11-03T15:39:00;2019-11-03T02:08:01;Autorizada;Way Dominican Republic
10;Vacaciones;Compensatorio;2019-11-03T04:39:24;Point Orchestrator;Solomon Islands Licensed;2019-11-03T03:53:05;2019-11-03T20:18:52;NoAutorizada;Refined Rubber Gloves Algerian Dinar Clothing
