id;fecha_inicio;fecha_fin;estado
1;2019-10-29T07:51:39;2019-10-29T07:19:05;Historica
2;2019-10-29T04:16:47;2019-10-29T10:32:17;Historica
3;2019-10-29T11:47:55;2019-10-29T09:29:19;Historica
4;2019-10-29T13:23:32;2019-10-29T00:44:03;Historica
5;2019-10-29T12:27:27;2019-10-29T14:52:54;Actual
6;2019-10-29T08:46:45;2019-10-29T11:36:27;Actual
7;2019-10-29T05:36:10;2019-10-29T11:37:31;Historica
8;2019-10-29T15:19:25;2019-10-29T15:52:16;Actual
9;2019-10-29T20:56:38;2019-10-29T07:08:09;Historica
10;2019-10-29T07:45:01;2019-10-29T17:07:55;Actual
