id;fecha_inicio_planificacion;fecha_fin_planificacion;fecha_asistencia_turno;hora_inicio_turno;hora_fin_turno;nombre_cargo;tipos_asistencia;minutos_diferencia;nombre_turno;inasistencia_justificada
1;2020-02-05T16:59:58;2020-02-05T08:31:43;2020-02-05T14:54:10;2020-02-05T08:18:08;2020-02-05T05:24:09;revolutionize Branding;teal analyzing yellow;Books Generic;robust withdrawal generate;true
2;2020-02-06T03:26:20;2020-02-05T19:49:21;2020-02-05T08:27:01;2020-02-05T21:44:27;2020-02-05T21:13:58;Metal Rupiah;Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming interface Cotton;false
3;2020-02-05T09:21:49;2020-02-05T14:03:52;2020-02-05T19:49:05;2020-02-05T07:11:12;2020-02-05T05:39:34;SSL bandwidth;application Configurable iterate;Berkshire navigating;superstructure;false
4;2020-02-05T18:39:24;2020-02-06T02:42:49;2020-02-06T03:44:14;2020-02-05T04:59:33;2020-02-05T06:16:06;Fantastic time-frame Quality;Borders Borders Practical;methodical;Pakistan;false
5;2020-02-05T09:56:26;2020-02-05T05:17:20;2020-02-05T08:59:59;2020-02-05T09:14:47;2020-02-05T09:02:48;Unbranded;Associate Designer;mindshare;Guam bandwidth Liaison;true
6;2020-02-05T09:43:17;2020-02-05T07:54:37;2020-02-05T13:09:37;2020-02-05T07:11:34;2020-02-06T01:34:13;Practical Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;false
7;2020-02-05T18:58:02;2020-02-05T11:00:04;2020-02-06T01:59:36;2020-02-05T16:26:15;2020-02-05T09:20:46;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;quantifying;true
8;2020-02-05T10:05:33;2020-02-05T11:39:09;2020-02-05T13:59:48;2020-02-05T22:17:50;2020-02-05T04:54:20;grow asymmetric;Cyprus web services auxiliary;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;false
9;2020-02-05T15:26:35;2020-02-06T00:00:29;2020-02-05T12:53:31;2020-02-05T22:47:38;2020-02-05T11:17:58;Wells;Naira iterate;Unbranded Plastic Chips Brand Regional;Generic B2B;false
10;2020-02-05T23:28:57;2020-02-05T12:28:23;2020-02-05T16:52:07;2020-02-05T18:40:44;2020-02-05T19:31:01;Indiana;holistic;Architect;Beauty dynamic schemas;true
