id;tipo;fecha_inicio;fecha_fin
1;next-generation Quality-focused Quality;2019-10-29T18:52:37;2019-10-29T06:34:14
2;override Salad XSS;2019-10-29T00:29:35;2019-10-29T10:14:45
3;SAS;2019-10-29T21:17:37;2019-10-29T18:19:27
4;one-to-one reboot Chair;2019-10-29T01:47:10;2019-10-29T08:04:07
5;generate Adaptive black;2019-10-29T19:23:55;2019-10-29T06:36:39
6;Designer;2019-10-29T06:15:13;2019-10-29T18:38:12
7;expedite;2019-10-29T21:11:57;2019-10-29T08:27:27
8;back-end Gorgeous back up;2019-10-29T08:25:36;2019-10-29T11:02:36
9;copying benchmark Sausages;2019-10-29T03:19:42;2019-10-29T18:57:24
10;Directives Baht Tasty Plastic Keyboard;2019-10-29T04:25:16;2019-10-29T02:54:49
