id;tipo;fecha_inicio;fecha_fin
1;efficient back up Tactics;2019-10-29T19:40:45;2019-10-29T08:59:32
2;Unbranded revolutionary;2019-10-29T20:37:13;2019-10-29T01:37:44
3;24/365;2019-10-29T13:41:13;2019-10-29T18:13:55
4;Hawaii Solomon Islands Dollar neural;2019-10-29T16:36:49;2019-10-29T20:25:43
5;Brunei Dollar;2019-10-28T22:34:48;2019-10-29T06:08:34
6;circuit;2019-10-29T20:39:32;2019-10-29T07:08:33
7;Checking Account Home Loan Account orchestration;2019-10-28T22:58:21;2019-10-29T00:30:50
8;alarm neural seamless;2019-10-29T01:51:41;2019-10-29T09:47:30
9;invoice;2019-10-29T08:08:43;2019-10-29T08:16:30
10;synthesizing Manors;2019-10-29T05:58:17;2019-10-29T20:26:20
