id;tipo;nombre;descripcion;hora_inicio;umbral_inicio;duracion;color;estado
1;NoLaboral;Home Loan Account Table Computer;Trace;2019-10-29T13:24:23;2019-10-29T06:59:20;14286;magenta;Activo
2;Laboral;methodology Albania;Home Namibia;2019-10-29T11:49:08;2019-10-29T18:04:03;4666;orange;Activo
3;NoLaboral;Mississippi Refined Rubber Chicken Table;Automotive;2019-10-28T22:48:10;2019-10-28T22:14:26;56328;gold;Activo
4;NoLaboral;Games Regional Digitized;copy convergence;2019-10-29T16:25:30;2019-10-29T08:17:40;56770;mint green;Activo
5;NoLaboral;National Awesome sky blue;Tactics;2019-10-29T01:08:49;2019-10-29T12:05:14;74732;black;Activo
6;NoLaboral;Plastic;Car Industrial deliverables;2019-10-29T11:56:18;2019-10-29T16:38:47;29348;red;Inactivo
7;Laboral;world-class Frozen IB;Highway Ergonomic;2019-10-29T12:30:57;2019-10-29T13:57:07;66884;pink;Inactivo
8;NoLaboral;synthesize Idaho compress;Sleek Metal Table Small;2019-10-29T10:52:17;2019-10-29T18:49:34;20171;red;Inactivo
9;Laboral;User-centric;Money Market Account;2019-10-29T04:44:27;2019-10-29T17:32:46;88046;azure;Activo
10;NoLaboral;Ghana back-end National;Direct;2019-10-29T14:53:04;2019-10-29T15:56:42;64769;violet;Activo
